model,dataset,accuracy,precision,recall,f1,roc_auc
Random Forest,train,0.9373077486450857,0.8834236498881306,0.9373077486450857,0.9083927090710182,0.9827714363019897
Random Forest,valid,0.9374633860574106,0.8835866149231291,0.9374633860574106,0.9085524775718831,0.9792637437558079
Random Forest,test,0.9370240187463386,0.8831500599815139,0.9370240187463386,0.9081136276111271,0.9820822499384291
Decision Tree,train,0.9500024412870466,0.9435854245626824,0.9500024412870466,0.9425073621879547,0.9819474573978149
Decision Tree,valid,0.9461042765084944,0.9377785506363877,0.9461042765084944,0.937780094001568,0.9799478056910284
Decision Tree,test,0.9487404803749268,0.9417229909029019,0.9487404803749268,0.9408234589688825,0.9822237151391098
CatBoost,train,0.9563497876080269,0.9521472513863926,0.9563497876080269,0.9517678432186035,0.9891251102095833
CatBoost,valid,0.9506444053895724,0.9448693176111868,0.9506444053895724,0.9456100774490372,0.9858650975230431
CatBoost,test,0.9525483304042179,0.9472277445603278,0.9525483304042179,0.9472572934118192,0.9873406023193446
